MTFCC,OID,GEOID,STATE,COUNTY,TRACT,BLKGRP,BLOCK,BASENAME,NAME,LSADC,FUNCSTAT,POP100,HU100,AREALAND,AREAWATER,UR,CENTLAT,CENTLON,INTPTLAT,INTPTLON
G5040,2.10404E+14,110010001001000,11,1,100,1,1000,1000,Block 1000,BK,S,324,207,576053,,U,38.9150666,-77.0611091,38.9150666,-77.0611091
G5040,2.10404E+14,110010001001001,11,1,100,1,1001,1001,Block 1001,BK,S,30,14,25769,,U,38.9142162,-77.0656024,38.9142162,-77.0656024
G5040,2.10404E+14,110010001001002,11,1,100,1,1002,1002,Block 1002,BK,S,122,70,24957,,U,38.9123651,-77.0619362,38.9123651,-77.0619362
G5040,2.10404E+14,110010001001003,11,1,100,1,1003,1003,Block 1003,BK,S,141,81,11951,,U,38.9122994,-77.0601767,38.9122994,-77.0601767
G5040,2.10404E+14,110010001001004,11,1,100,1,1004,1004,Block 1004,BK,S,78,56,41130,,U,38.9118082,-77.0632647,38.9118082,-77.0632647
G5040,2.10404E+14,110010001001005,11,1,100,1,1005,1005,Block 1005,BK,S,31,20,23670,,U,38.9131644,-77.0653194,38.9131644,-77.0653194
G5040,2.10404E+14,110010001001006,11,1,100,1,1006,1006,Block 1006,BK,S,108,64,27323,,U,38.9114698,-77.0647922,38.9114698,-77.0647922
G5040,2.10404E+14,110010001001007,11,1,100,1,1007,1007,Block 1007,BK,S,38,26,5216,,U,38.9123643,-77.0645147,38.9123643,-77.0645147
G5040,2.10404E+14,110010001001008,11,1,100,1,1008,1008,Block 1008,BK,S,50,25,20619,,U,38.9115502,-77.0576969,38.9115502,-77.0576969
G5040,2.10404E+14,110010001001009,11,1,100,1,1009,1009,Block 1009,BK,S,114,66,20527,,U,38.9115357,-77.0587528,38.9115357,-77.0587528
G5040,2.10404E+14,110010001001010,11,1,100,1,1010,1010,Block 1010,BK,S,133,80,10033,,U,38.9116007,-77.0601026,38.9116007,-77.0601026
G5040,2.10404E+14,110010001001011,11,1,100,1,1011,1011,Block 1011,BK,S,174,84,26245,,U,38.9109901,-77.0608453,38.9109901,-77.0608453
G5040,2.10404E+14,110010001002000,11,1,100,2,2000,2000,Block 2000,BK,S,609,494,42364,,U,38.9100683,-77.0528631,38.9100683,-77.0528631
G5040,2.10404E+14,110010001002001,11,1,100,2,2001,2001,Block 2001,BK,S,273,205,21340,,U,38.9099975,-77.056197,38.9099975,-77.056197
G5040,2.10404E+14,110010001002002,11,1,100,2,2002,2002,Block 2002,BK,S,102,64,10459,,U,38.9089553,-77.0564416,38.9089553,-77.0564416
G5040,2.10404E+14,110010001002003,11,1,100,2,2003,2003,Block 2003,BK,S,56,38,8170,,U,38.9089462,-77.0552735,38.9089462,-77.0552735
G5040,2.10404E+14,110010001002004,11,1,100,2,2004,2004,Block 2004,BK,S,63,43,66620,,U,38.9078752,-77.0544314,38.9078752,-77.0544314
G5040,2.10404E+14,110010001002005,11,1,100,2,2005,2005,Block 2005,BK,S,,,15939,,U,38.9079454,-77.0533185,38.9090878,-77.0508394
G5040,2.10404E+14,110010001002006,11,1,100,2,2006,2006,Block 2006,BK,S,88,48,9456,,U,38.9064797,-77.0564235,38.9064797,-77.0564235
G5040,2.10404E+14,110010001002007,11,1,100,2,2007,2007,Block 2007,BK,S,46,29,10055,,U,38.9072834,-77.0564391,38.9072834,-77.0564391
G5040,2.10404E+14,110010001002008,11,1,100,2,2008,2008,Block 2008,BK,S,104,47,10002,,U,38.9081156,-77.0564523,38.9081156,-77.0564523
G5040,2.10404E+14,110010001002009,11,1,100,2,2009,2009,Block 2009,BK,S,43,31,4939,,U,38.9097337,-77.0550921,38.9097337,-77.0550921
G5040,2.10404E+14,110010001003000,11,1,100,3,3000,3000,Block 3000,BK,S,46,16,12392,,U,38.9099368,-77.0576617,38.9099368,-77.0576617
G5040,2.10404E+14,110010001003001,11,1,100,3,3001,3001,Block 3001,BK,S,144,88,12150,,U,38.9099236,-77.0587204,38.9099236,-77.0587204
G5040,2.10404E+14,110010001003002,11,1,100,3,3002,3002,Block 3002,BK,S,248,110,28149,,U,38.9099163,-77.0604752,38.9099163,-77.0604752
G5040,2.10404E+14,110010001003003,11,1,100,3,3003,3003,Block 3003,BK,S,82,41,22356,,U,38.9098693,-77.062664,38.9098693,-77.062664
G5040,2.10404E+14,110010001003004,11,1,100,3,3004,3004,Block 3004,BK,S,52,27,11378,,U,38.9098446,-77.0641259,38.9098446,-77.0641259
G5040,2.10404E+14,110010001003005,11,1,100,3,3005,3005,Block 3005,BK,S,85,37,22212,,U,38.9088594,-77.0626992,38.9088594,-77.0626992
G5040,2.10404E+14,110010001003006,11,1,100,3,3006,3006,Block 3006,BK,S,124,59,16642,,U,38.9088915,-77.06027,38.9088915,-77.06027
