,GEOID,year,name,parent-location,population,poverty-rate,renter-occupied-households,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,eviction-filings,evictions,eviction-rate,eviction-filing-rate,low-flag,imputed,subbed,MTFCC,OID,STATE,COUNTY,TRACT,BLKGRP,BLOCK,BASENAME,NAME,LSADC,FUNCSTAT,POP100,HU100,AREALAND,AREAWATER,UR,CENTLAT,CENTLON,INTPTLAT,INTPTLON,OBJECTID,PUD_NAME,PUD_WEB_URL,PUD_CHANGE_NARRATIVE,PUD_ZONING,PUD_STATUS,PUD_CASE_NUMBER,SHAPEAREA,SHAPELEN,GLOBALID,WARD
0,11001007301,2016,73.01,"District of Columbia, District of Columbia",4002.0,3.29,1021.0,100.0,2408.0,75625.0,,38.1,61.02,22.61,9.32,0.0,1.45,0.0,2.35,3.25,15.0,5.0,0.49,1.47,1,0,0,G5040,210404000000000.0,11.0,1.0,7301.0,1.0,1000.0,1000.0,Block 1000,BK,S,,,7086.0,,U,38.8666016,-77.0024525,38.8666016,-77.0024525,,,,,,,,,,,
1,11001007304,2016,73.04,"District of Columbia, District of Columbia",3514.0,38.02,974.0,82.41,836.0,29542.0,222000.0,34.9,3.47,93.26,1.68,0.0,0.0,0.0,1.59,0.0,263.0,68.0,6.98,27.0,1,0,0,G5040,210404000000000.0,11.0,1.0,7304.0,1.0,1000.0,1000.0,Block 1000,BK,S,,,,5767.0,U,38.8424719,-76.9761329,38.841976,-76.9781658,66488.0,Brownstein Commons LP,https://app.dcoz.dc.gov/Content/Search/ViewCaseReport.aspx?case_id=13-17,"Setdown 2/10/14 Case # 13-17, Approved 6/30/14",R-5-B,Final,13-17,0.0,0.0,{8F8BB56D-108F-498E-895E-63801862AFDA},Ward 8
2,11001007401,2016,74.01,"District of Columbia, District of Columbia",2453.0,58.38,761.0,93.17,410.0,15205.0,279300.0,29.2,0.2,97.59,1.79,0.0,0.41,0.0,0.0,0.0,78.0,14.0,1.84,10.25,1,0,0,G5040,210404000000000.0,11.0,1.0,7401.0,1.0,1000.0,1000.0,Block 1000,BK,S,,,,34024.0,U,38.8700525,-76.99134409999998,38.8700525,-76.99134409999998,66401.0,Matthews Memorial,https://app.dcoz.dc.gov/Content/Search/ViewCaseReport.aspx?case_id=08-25,"Official Digital Zoning Map of July 1, 2010",C-2-A,Final,08-25,0.0,0.0,{5B098443-F4D8-4ED2-A6F6-D48E37510A12},Ward 8
3,11001007401,2016,74.01,"District of Columbia, District of Columbia",2453.0,58.38,761.0,93.17,410.0,15205.0,279300.0,29.2,0.2,97.59,1.79,0.0,0.41,0.0,0.0,0.0,78.0,14.0,1.84,10.25,1,0,0,G5040,210404000000000.0,11.0,1.0,7401.0,1.0,1000.0,1000.0,Block 1000,BK,S,,,,34024.0,U,38.8700525,-76.99134409999998,38.8700525,-76.99134409999998,66447.0,Poplar Point RBBR LLC,https://app.dcoz.dc.gov/Content/Search/ViewCaseReport.aspx?case_id=16-29,"Setdown 2/27/17, Order DC Register 5/25/18",MU-9,"Extinguished, DC Register 6/28/19",16-29,0.0,0.0,{C39BA7CA-FAAE-4DB9-B192-D5F5B0C2D7CD},Ward 8
4,11001007403,2016,74.03,"District of Columbia, District of Columbia",3500.0,26.65,968.0,95.29,1104.0,31399.0,164700.0,33.8,1.23,95.97,2.8,0.0,0.0,0.0,0.0,0.0,864.0,72.0,7.44,89.26,1,0,0,G5040,210404000000000.0,11.0,1.0,7403.0,1.0,1000.0,1000.0,Block 1000,BK,S,116.0,57.0,54719.0,,U,38.8489878,-76.9693736,38.8489878,-76.9693736,,,,,,,,,,,
5,11001007404,2016,74.04,"District of Columbia, District of Columbia",3795.0,38.26,949.0,75.47,959.0,28569.0,231600.0,37.8,0.71,98.23,0.16,0.42,0.0,0.0,0.47,0.0,290.0,74.0,7.8,30.56,1,0,0,G5040,210404000000000.0,11.0,1.0,7404.0,1.0,1000.0,1000.0,Block 1000,BK,S,1073.0,421.0,213926.0,,U,38.8526073,-76.9785465,38.8526073,-76.9785465,66199.0,Fredrick Douglas Stanton,https://app.dcoz.dc.gov/Content/Search/ViewCaseReport.aspx?case_id=01-18,"Official Digital Zoning Map of July 1, 2010",R-5-A,Final,01-18,0.0,0.0,{F9C2D880-F775-4F8A-A70E-64CF60DDD80D},Ward 8
6,11001007406,2016,74.06,"District of Columbia, District of Columbia",3061.0,28.96,946.0,97.93,1222.0,37344.0,,34.7,0.0,97.88,0.59,0.0,0.0,0.39,1.14,0.0,756.0,68.0,7.19,79.92,1,0,0,G5040,210404000000000.0,11.0,1.0,7406.0,1.0,1000.0,1000.0,Block 1000,BK,S,708.0,228.0,49680.0,,U,38.8576826,-76.98930329999997,38.8576826,-76.98930329999997,66402.0,Sheridan Redevelopment LLC & DCHA,https://app.dcoz.dc.gov/Content/Search/ViewCaseReport.aspx?case_id=07-35C,Modification 9/10/12,"R-5-B, C-2-A",Final,07-35C,0.0,0.0,{14CDAD38-A011-4BDD-A624-097897247C07},Ward 8
7,11001007407,2016,74.07,"District of Columbia, District of Columbia",2734.0,24.35,833.0,59.85,1067.0,34531.0,216000.0,47.9,0.84,97.37,0.0,0.0,0.0,0.0,1.79,0.0,322.0,49.0,5.88,38.66,1,0,0,G5040,210404000000000.0,11.0,1.0,7407.0,1.0,1000.0,1000.0,Block 1000,BK,S,,,51992.0,,U,38.8552444,-76.97631240000003,38.8552444,-76.97631240000003,66411.0,Stanton Square LLC,https://app.dcoz.dc.gov/Content/Search/ViewCaseReport.aspx?case_id=13-09B,"Setdown 7/27/15, Approved 4/11/16, DC Register 2/2/18","R-5-A, SP-1",Final,13-09B,0.0,0.0,{1F19190E-5D54-4EB1-845E-8FB27A5EE48E},Ward 8
8,11001007407,2016,74.07,"District of Columbia, District of Columbia",2734.0,24.35,833.0,59.85,1067.0,34531.0,216000.0,47.9,0.84,97.37,0.0,0.0,0.0,0.0,1.79,0.0,322.0,49.0,5.88,38.66,1,0,0,G5040,210404000000000.0,11.0,1.0,7407.0,1.0,1000.0,1000.0,Block 1000,BK,S,,,51992.0,,U,38.8552444,-76.97631240000003,38.8552444,-76.97631240000003,66307.0,The Salvation Army,https://app.dcoz.dc.gov/Content/Search/ViewCaseReport.aspx?case_id=04-35,"Official Digital Zoning Map of July 1, 2010",None,Final,04-35,0.0,0.0,{C2771219-902A-4F14-90DF-314C03824BA1},Ward 8
9,11001007408,2016,74.08,"District of Columbia, District of Columbia",3548.0,45.09,916.0,93.5,1060.0,22353.0,326600.0,44.8,0.85,93.15,1.41,0.0,0.0,0.0,0.0,4.59,327.0,61.0,6.66,35.7,1,0,0,G5040,210404000000000.0,11.0,1.0,7408.0,1.0,1000.0,1000.0,Block 1000,BK,S,1136.0,326.0,66236.0,,U,38.85526,-76.9717762,38.85526,-76.9717762,,,,,,,,,,,
10,11001007409,2016,74.09,"District of Columbia, District of Columbia",3802.0,35.7,1152.0,83.87,1011.0,33990.0,256300.0,33.1,0.66,98.13,0.0,0.0,1.21,0.0,0.0,0.0,1146.0,113.0,9.81,99.48,1,0,0,G5040,210404000000000.0,11.0,1.0,7409.0,1.0,1000.0,1000.0,Block 1000,BK,S,372.0,194.0,32093.0,,U,38.84744570000001,-76.9685076,38.84744570000001,-76.9685076,66198.0,Oxon Creek,https://app.dcoz.dc.gov/Content/Search/ViewCaseReport.aspx?case_id=97-10,"Official Digital Zoning Map of July 1, 2010",R-5-A,Final,97-10,0.0,0.0,{475DF305-4C5D-4D39-BEC7-24488CF5F6C5},Ward 8
11,11001007502,2016,75.02,"District of Columbia, District of Columbia",5361.0,48.96,1412.0,82.17,831.0,26422.0,251500.0,33.5,1.04,98.41,0.22,0.0,0.0,0.0,0.32,0.0,520.0,72.0,5.1,36.83,1,0,0,G5040,210404000000000.0,11.0,1.0,7502.0,1.0,1000.0,1000.0,Block 1000,BK,S,1495.0,538.0,155489.0,,U,38.8593148,-76.9722107,38.8593148,-76.9722107,,,,,,,,,,,
12,11001007503,2016,75.03,"District of Columbia, District of Columbia",2694.0,44.82,621.0,67.64,1010.0,26125.0,288600.0,50.0,1.45,97.22,0.56,0.0,0.19,0.0,0.59,0.0,208.0,27.0,4.35,33.49,1,0,0,G5040,210404000000000.0,11.0,1.0,7503.0,1.0,1000.0,1000.0,Block 1000,BK,S,6.0,1.0,17044.0,,U,38.8661655,-76.9842864,38.8661655,-76.9842864,66380.0,Four Points LLC,https://app.dcoz.dc.gov/Content/Search/ViewCaseReport.aspx?case_id=08-07,"Case no. 08-07, Order no. 08-07 Approved 9/9/13",C-3-A,Final,08-07,0.0,0.0,{C6C32921-B480-46E9-8701-C3A74774D5F1},Ward 8
13,11001007503,2016,75.03,"District of Columbia, District of Columbia",2694.0,44.82,621.0,67.64,1010.0,26125.0,288600.0,50.0,1.45,97.22,0.56,0.0,0.19,0.0,0.59,0.0,208.0,27.0,4.35,33.49,1,0,0,G5040,210404000000000.0,11.0,1.0,7503.0,1.0,1000.0,1000.0,Block 1000,BK,S,6.0,1.0,17044.0,,U,38.8661655,-76.9842864,38.8661655,-76.9842864,66509.0,"Four Points, LLC",https://app.dcoz.dc.gov/Content/Search/ViewCaseReport.aspx?case_id=08-07C,DC Register 11/9/18 (second stage PUD),C-3-A,Final,08-07C,0.0,0.0,{886905A5-A433-4BCC-B97E-02685800B827},Ward 8
14,11001007503,2016,75.03,"District of Columbia, District of Columbia",2694.0,44.82,621.0,67.64,1010.0,26125.0,288600.0,50.0,1.45,97.22,0.56,0.0,0.19,0.0,0.59,0.0,208.0,27.0,4.35,33.49,1,0,0,G5040,210404000000000.0,11.0,1.0,7503.0,1.0,1000.0,1000.0,Block 1000,BK,S,6.0,1.0,17044.0,,U,38.8661655,-76.9842864,38.8661655,-76.9842864,66428.0,"Four Points, LLC & Curtis Properties",https://app.dcoz.dc.gov/Content/Search/ViewCaseReport.aspx?case_id=08-07D,Second Stage PUD. 3/30/15,C-3-C,Final,08-07D,0.0,0.0,{3E947A02-9D67-4F63-8933-B1F322FB8BE6},Ward 8
